date,period,year,quarter,series,region,property_type,pct_1m,pct_12m,pct_3m,index
2005-10-01,2005-10,2005,2005Q4,National - houses,National,Houses,2.1,,4.6,134.1
2005-10-01,2005-10,2005,2005Q4,National excluding Dublin - all residential properties,National excluding Dublin,All residential,1.7,,4.0,155.3
2005-10-01,2005-10,2005,2005Q4,National excluding Dublin - apartments,National excluding Dublin,Apartments,4.0,,9.5,205.0
2005-10-01,2005-10,2005,2005Q4,National excluding Dublin - houses,National excluding Dublin,Houses,1.6,,3.7,152.5
2005-11-01,2005-11,2005,2005Q4,Dublin - all residential properties,Dublin,All residential,1.3,,6.0,135.4
2005-11-01,2005-11,2005,2005Q4,Dublin - apartments,Dublin,Apartments,1.1,,4.8,157.8
2005-11-01,2005-11,2005,2005Q4,Dublin - houses,Dublin,Houses,1.4,,6.1,129.5
2005-11-01,2005-11,2005,2005Q4,National - all residential properties,National,All residential,0.9,,4.1,139.3
2005-11-01,2005-11,2005,2005Q4,National - apartments,National,Apartments,1.3,,4.9,163.4
2005-11-01,2005-11,2005,2005Q4,National - houses,National,Houses,0.9,,3.9,135.3
2005-11-01,2005-11,2005,2005Q4,National excluding Dublin - all residential properties,National excluding Dublin,All residential,0.6,,3.1,156.3
2005-11-01,2005-11,2005,2005Q4,National excluding Dublin - apartments,National excluding Dublin,Apartments,1.4,,7.3,207.8
2005-11-01,2005-11,2005,2005Q4,National excluding Dublin - houses,National excluding Dublin,Houses,0.6,,2.9,153.5
2005-12-01,2005-12,2005,2005Q4,Dublin - all residential properties,Dublin,All residential,0.6,,4.7,136.2
2005-12-01,2005-12,2005,2005Q4,Dublin - apartments,Dublin,Apartments,1.4,,4.1,160.1
2005-12-01,2005-12,2005,2005Q4,Dublin - houses,Dublin,Houses,0.3,,4.9,129.9
2005-12-01,2005-12,2005,2005Q4,National - all residential properties,National,All residential,1.0,,4.0,140.7
2005-12-01,2005-12,2005,2005Q4,National - apartments,National,Apartments,1.8,,5.1,166.4
2005-12-01,2005-12,2005,2005Q4,National - houses,National,Houses,0.9,,3.9,136.5
2005-12-01,2005-12,2005,2005Q4,National excluding Dublin - all residential properties,National excluding Dublin,All residential,1.2,,3.7,158.2
2005-12-01,2005-12,2005,2005Q4,National excluding Dublin - apartments,National excluding Dublin,Apartments,2.6,,8.1,213.2
2005-12-01,2005-12,2005,2005Q4,National excluding Dublin - houses,National excluding Dublin,Houses,1.2,,3.4,155.3
2006-01-01,2006-01,2006,2006Q1,Dublin - all residential properties,Dublin,All residential,0.5,15.4,2.3,136.8
2006-01-01,2006-01,2006,2006Q1,Dublin - apartments,Dublin,Apartments,-0.1,11.0,2.4,159.9
2006-01-01,2006-01,2006,2006Q1,Dublin - houses,Dublin,Houses,0.8,16.9,2.5,130.9
