quarter,qend,year,rppi_national_index,rppi_national_yoy,rppi_dublin_index,rppi_dublin_yoy,rppi_rest_index,rppi_rest_yoy,cpi_2015_100,rppi_national_real_index,completions_q_total,completions_q_single,completions_q_scheme,completions_q_apartment,completions_12m_total,completions_12m_prev,completions_12m_yoy,tx_volume,tx_value_eur_m,tx_mean_price,tx_median_price,mean_price_new,median_price_new,mean_price_existing,median_price_existing
2013Q3,2013-09-30 23:59:59.999999,2013,78.53333333333335,3.466666666666667,75.86666666666667,12.666666666666666,82.10000000000001,-5.666666666666667,100.30187160394446,78.29697699304442,1033.0,727.0,267.0,39.0,4526.0,5094.0,-11.150372987828817,26563.0,5.4548000000000005,205352.0,150000.0,182162.0,142000.0,208840.0,150000.0
2013Q4,2013-12-31 23:59:59.999999,2013,80.76666666666667,5.566666666666666,78.83333333333333,13.666666666666666,83.46666666666667,-2.8333333333333335,99.9798752264037,80.78292404723564,1507.0,861.0,433.0,213.0,4575.0,4911.0,-6.841783750763597,26563.0,5.4548000000000005,205352.0,150000.0,182162.0,142000.0,208840.0,150000.0
2014Q1,2014-03-31 23:59:59.999999,2014,82.03333333333333,10.4,80.8,18.066666666666666,83.76666666666667,2.1333333333333333,99.9798752264037,82.04984567901235,1094.0,625.0,309.0,160.0,4780.0,4669.0,2.3773827372028267,40847.0,8.643799999999999,211614.0,157500.0,206006.0,160000.0,212466.0,157000.0
2014Q2,2014-06-30 23:59:59.999999,2014,86.60000000000001,16.5,87.39999999999999,25.3,85.86666666666667,6.766666666666667,100.744616623063,85.95992808629644,1318.0,712.0,365.0,241.0,4952.0,4698.0,5.406555981268624,40847.0,8.643799999999999,211614.0,157500.0,206006.0,160000.0,212466.0,157000.0
2014Q3,2014-09-30 23:59:59.999999,2014,93.63333333333333,19.266666666666666,96.7,27.400000000000002,90.0,9.633333333333333,100.6641175286778,93.01560042649606,1404.0,728.0,506.0,170.0,5323.0,4526.0,17.60936809544853,40847.0,8.643799999999999,211614.0,157500.0,206006.0,160000.0,212466.0,157000.0
2014Q4,2014-12-31 23:59:59.999999,2014,96.56666666666666,19.566666666666666,98.89999999999999,25.53333333333333,93.86666666666667,12.5,99.93962567921112,96.62500335615518,1702.0,910.0,615.0,177.0,5518.0,4575.0,20.6120218579235,40847.0,8.643799999999999,211614.0,157500.0,206006.0,160000.0,212466.0,157000.0
2015Q1,2015-03-31 23:59:59.999999,2015,96.39999999999999,17.566666666666666,98.0,21.266666666666666,94.76666666666667,13.133333333333333,99.3761320185148,97.00518428513567,1371.0,659.0,606.0,106.0,5795.0,4780.0,21.23430962343096,45448.0,10.0993,222217.0,170000.0,238097.0,182870.0,219637.0,168839.0
2015Q2,2015-06-30 23:59:59.999999,2015,98.56666666666666,13.833333333333334,98.76666666666667,13.1,98.39999999999999,14.6,100.30187160394446,98.27001738897805,1570.0,735.0,674.0,161.0,6047.0,4952.0,22.112277867528274,45448.0,10.0993,222217.0,170000.0,238097.0,182870.0,219637.0,168839.0
2015Q3,2015-09-30 23:59:59.999999,2015,101.73333333333333,8.666666666666666,101.06666666666668,4.533333333333333,102.39999999999999,13.766666666666666,100.46286979271484,101.26461004273504,2033.0,879.0,899.0,255.0,6676.0,5323.0,25.4179973699042,45448.0,10.0993,222217.0,170000.0,238097.0,182870.0,219637.0,168839.0
2015Q4,2015-12-31 23:59:59.999999,2015,103.23333333333333,6.8999999999999995,102.13333333333333,3.266666666666667,104.39999999999999,11.199999999999998,99.85912658482592,103.37896681445655,2245.0,979.0,1115.0,151.0,7219.0,5518.0,30.82638637187387,45448.0,10.0993,222217.0,170000.0,238097.0,182870.0,219637.0,168839.0
