date,period,series,region,property_type,index,pct_1m,pct_3m,pct_12m
2016-01-01,2016-01,National excluding Dublin - houses,National excluding Dublin,Houses,104.9,0.4,0.4,10.8
2016-01-01,2016-01,South Dublin - houses,South Dublin,Houses,99.0,1.6,0.4,-2.4
2016-01-01,2016-01,South-East - houses,South-East,Houses,104.8,0.3,0.4,10.9
2016-01-01,2016-01,South-West - houses,South-West,Houses,108.0,2.2,3.1,14.8
2016-01-01,2016-01,West - houses,West,Houses,104.7,-0.1,1.7,8.3
2016-02-01,2016-02,Border - houses,Border,Houses,105.2,-2.8,0.1,10.8
2016-02-01,2016-02,Dublin - all residential properties,Dublin,All residential,102.3,-0.7,0.2,4.6
2016-02-01,2016-02,Dublin - apartments,Dublin,Apartments,102.2,-0.1,0.0,3.0
2016-02-01,2016-02,Dublin - houses,Dublin,Houses,102.4,-0.9,0.1,4.6
2016-02-01,2016-02,Dublin City - houses,Dublin City,Houses,100.8,-0.5,-0.4,0.1
2016-02-01,2016-02,Dun Laoghaire-Rathdown - houses,Dun Laoghaire-Rathdown,Houses,103.3,-0.4,1.3,5.3
2016-02-01,2016-02,Fingal - houses,Fingal,Houses,103.3,-0.1,1.2,5.1
2016-02-01,2016-02,Mid-East - houses,Mid-East,Houses,103.1,0.3,-0.6,7.4
2016-02-01,2016-02,Mid-West - houses,Mid-West,Houses,105.0,0.3,1.3,11.6
2016-02-01,2016-02,Midland - houses,Midland,Houses,109.5,-0.9,3.0,15.1
2016-02-01,2016-02,National - all residential properties,National,All residential,103.4,-0.6,0.2,7.4
2016-02-01,2016-02,National - apartments,National,Apartments,102.7,0.1,0.7,3.5
2016-02-01,2016-02,National - houses,National,Houses,103.4,-0.7,0.1,7.5
2016-02-01,2016-02,National excluding Dublin - all residential properties,National excluding Dublin,All residential,104.4,-0.5,0.2,10.5
2016-02-01,2016-02,National excluding Dublin - apartments,National excluding Dublin,Apartments,105.6,0.2,0.9,12.6
2016-02-01,2016-02,National excluding Dublin - houses,National excluding Dublin,Houses,104.4,-0.5,0.1,10.3
2016-02-01,2016-02,South Dublin - houses,South Dublin,Houses,98.9,-0.1,1.7,-3.0
2016-02-01,2016-02,South-East - houses,South-East,Houses,105.1,0.3,0.9,10.1
2016-02-01,2016-02,South-West - houses,South-West,Houses,107.0,-0.9,1.3,12.7
2016-02-01,2016-02,West - houses,West,Houses,106.2,1.3,1.8,10.9
2016-03-01,2016-03,Border - houses,Border,Houses,105.5,0.3,-0.7,10.2
2016-03-01,2016-03,Dublin - all residential properties,Dublin,All residential,102.6,0.2,0.9,4.9
2016-03-01,2016-03,Dublin - apartments,Dublin,Apartments,102.0,-0.1,0.8,6.7
2016-03-01,2016-03,Dublin - houses,Dublin,Houses,102.7,0.3,0.7,4.0
2016-03-01,2016-03,Dublin City - houses,Dublin City,Houses,100.6,-0.2,-0.5,0.5
2016-03-01,2016-03,Dun Laoghaire-Rathdown - houses,Dun Laoghaire-Rathdown,Houses,103.8,0.4,1.3,4.5
2016-03-01,2016-03,Fingal - houses,Fingal,Houses,104.5,1.2,2.8,6.1
2016-03-01,2016-03,Mid-East - houses,Mid-East,Houses,103.1,0.0,-0.7,7.0
2016-03-01,2016-03,Mid-West - houses,Mid-West,Houses,104.5,-0.5,-0.3,9.4
2016-03-01,2016-03,Midland - houses,Midland,Houses,110.0,0.5,1.0,14.1
2016-03-01,2016-03,National - all residential properties,National,All residential,103.7,0.3,0.7,7.4
2016-03-01,2016-03,National - apartments,National,Apartments,103.2,0.5,1.5,5.3
2016-03-01,2016-03,National - houses,National,Houses,103.6,0.2,0.4,7.1
2016-03-01,2016-03,National excluding Dublin - all residential properties,National excluding Dublin,All residential,104.8,0.4,0.4,10.1
2016-03-01,2016-03,National excluding Dublin - apartments,National excluding Dublin,Apartments,108.3,2.6,3.7,10.6
2016-03-01,2016-03,National excluding Dublin - houses,National excluding Dublin,Houses,104.6,0.2,0.1,10.1
2016-03-01,2016-03,South Dublin - houses,South Dublin,Houses,98.8,-0.1,1.4,-3.2
2016-03-01,2016-03,South-East - houses,South-East,Houses,105.7,0.6,1.2,11.6
2016-03-01,2016-03,South-West - houses,South-West,Houses,107.9,0.8,2.1,12.9
2016-03-01,2016-03,West - houses,West,Houses,104.5,-1.5,-0.2,8.9
2016-04-01,2016-04,Border - houses,Border,Houses,106.7,1.1,-1.4,11.3
2016-04-01,2016-04,Dublin - all residential properties,Dublin,All residential,103.2,0.6,0.1,5.4
2016-04-01,2016-04,Dublin - apartments,Dublin,Apartments,103.8,1.8,1.5,8.9
2016-04-01,2016-04,Dublin - houses,Dublin,Houses,102.9,0.2,-0.4,4.3
2016-04-01,2016-04,Dublin City - houses,Dublin City,Houses,101.2,0.5,-0.1,2.0
2016-04-01,2016-04,Dun Laoghaire-Rathdown - houses,Dun Laoghaire-Rathdown,Houses,104.1,0.3,0.3,4.2
2016-04-01,2016-04,Fingal - houses,Fingal,Houses,104.1,-0.4,0.8,6.0
2016-04-01,2016-04,Mid-East - houses,Mid-East,Houses,103.1,0.0,0.3,5.9
2016-04-01,2016-04,Mid-West - houses,Mid-West,Houses,104.8,0.3,0.1,8.5
2016-04-01,2016-04,Midland - houses,Midland,Houses,111.4,1.3,0.8,16.6
2016-04-01,2016-04,National - all residential properties,National,All residential,104.3,0.6,0.3,7.2
2016-04-01,2016-04,National - apartments,National,Apartments,104.3,1.1,1.7,7.1
2016-04-01,2016-04,National - houses,National,Houses,104.1,0.4,-0.1,6.6
2016-04-01,2016-04,National excluding Dublin - all residential properties,National excluding Dublin,All residential,105.5,0.6,0.5,9.0
2016-04-01,2016-04,National excluding Dublin - apartments,National excluding Dublin,Apartments,109.0,0.7,3.5,12.1
2016-04-01,2016-04,National excluding Dublin - houses,National excluding Dublin,Houses,105.2,0.6,0.2,8.8
2016-04-01,2016-04,South Dublin - houses,South Dublin,Houses,99.2,0.4,0.1,-2.4
2016-04-01,2016-04,South-East - houses,South-East,Houses,105.4,-0.3,0.5,8.9
2016-04-01,2016-04,South-West - houses,South-West,Houses,107.1,-0.7,-0.8,9.9
2016-04-01,2016-04,West - houses,West,Houses,107.0,2.3,2.1,10.4
2016-05-01,2016-05,Border - houses,Border,Houses,107.9,1.1,2.6,11.8
2016-05-01,2016-05,Dublin - all residential properties,Dublin,All residential,102.9,-0.3,0.5,4.4
2016-05-01,2016-05,Dublin - apartments,Dublin,Apartments,104.8,0.9,2.6,8.6
2016-05-01,2016-05,Dublin - houses,Dublin,Houses,102.2,-0.6,-0.1,3.4
2016-05-01,2016-05,Dublin City - houses,Dublin City,Houses,101.3,0.2,0.5,2.2
2016-05-01,2016-05,Dun Laoghaire-Rathdown - houses,Dun Laoghaire-Rathdown,Houses,103.4,-0.7,0.1,4.5
2016-05-01,2016-05,Fingal - houses,Fingal,Houses,103.5,-0.6,0.2,4.1
2016-05-01,2016-05,Mid-East - houses,Mid-East,Houses,102.9,-0.3,-0.3,4.5
2016-05-01,2016-05,Mid-West - houses,Mid-West,Houses,104.3,-0.5,-0.6,5.3
2016-05-01,2016-05,Midland - houses,Midland,Houses,112.2,0.7,2.5,17.2
2016-05-01,2016-05,National - all residential properties,National,All residential,104.5,0.2,1.1,6.1
2016-05-01,2016-05,National - apartments,National,Apartments,105.2,0.9,2.5,7.7
2016-05-01,2016-05,National - houses,National,Houses,104.1,0.0,0.7,5.5
2016-05-01,2016-05,National excluding Dublin - all residential properties,National excluding Dublin,All residential,106.2,0.7,1.7,8.0
2016-05-01,2016-05,National excluding Dublin - apartments,National excluding Dublin,Apartments,110.4,1.3,4.6,13.3
2016-05-01,2016-05,National excluding Dublin - houses,National excluding Dublin,Houses,105.8,0.6,1.4,7.5
2016-05-01,2016-05,South Dublin - houses,South Dublin,Houses,99.0,-0.2,0.0,-1.7
2016-05-01,2016-05,South-East - houses,South-East,Houses,104.7,-0.6,-0.3,6.7
2016-05-01,2016-05,South-West - houses,South-West,Houses,108.4,1.2,1.3,9.8
2016-05-01,2016-05,West - houses,West,Houses,107.4,0.4,1.2,9.6
2016-06-01,2016-06,Border - houses,Border,Houses,108.6,0.6,2.9,10.3
2016-06-01,2016-06,Dublin - all residential properties,Dublin,All residential,103.1,0.2,0.5,3.2
2016-06-01,2016-06,Dublin - apartments,Dublin,Apartments,106.0,1.1,3.9,7.2
2016-06-01,2016-06,Dublin - houses,Dublin,Houses,102.2,0.0,-0.4,2.4
2016-06-01,2016-06,Dublin City - houses,Dublin City,Houses,101.1,-0.2,0.5,1.8
2016-06-01,2016-06,Dun Laoghaire-Rathdown - houses,Dun Laoghaire-Rathdown,Houses,103.4,0.0,-0.3,4.0
2016-06-01,2016-06,Fingal - houses,Fingal,Houses,103.2,-0.3,-1.3,3.3
2016-06-01,2016-06,Mid-East - houses,Mid-East,Houses,103.5,0.6,0.3,3.9
2016-06-01,2016-06,Mid-West - houses,Mid-West,Houses,106.6,2.2,2.1,5.9
2016-06-01,2016-06,Midland - houses,Midland,Houses,113.2,0.9,2.9,16.8
2016-06-01,2016-06,National - all residential properties,National,All residential,105.6,1.0,1.8,5.6
2016-06-01,2016-06,National - apartments,National,Apartments,107.0,1.7,3.7,8.2
2016-06-01,2016-06,National - houses,National,Houses,105.0,0.9,1.3,5.0
2016-06-01,2016-06,National excluding Dublin - all residential properties,National excluding Dublin,All residential,108.2,1.9,3.2,8.0
2016-06-01,2016-06,National excluding Dublin - apartments,National excluding Dublin,Apartments,115.2,4.3,6.4,16.4
2016-06-01,2016-06,National excluding Dublin - houses,National excluding Dublin,Houses,107.6,1.6,2.9,7.3
2016-06-01,2016-06,South Dublin - houses,South Dublin,Houses,99.6,0.7,0.8,-0.4
2016-06-01,2016-06,South-East - houses,South-East,Houses,104.7,0.0,-0.9,5.1
2016-06-01,2016-06,South-West - houses,South-West,Houses,108.9,0.5,1.0,9.6
2016-06-01,2016-06,West - houses,West,Houses,110.2,2.6,5.4,9.6
2016-07-01,2016-07,Border - houses,Border,Houses,108.9,0.3,2.0,9.0
2016-07-01,2016-07,Dublin - all residential properties,Dublin,All residential,104.4,1.2,1.1,3.9
2016-07-01,2016-07,Dublin - apartments,Dublin,Apartments,105.6,-0.4,1.7,4.9
2016-07-01,2016-07,Dublin - houses,Dublin,Houses,104.0,1.8,1.1,4.0
2016-07-01,2016-07,Dublin City - houses,Dublin City,Houses,102.5,1.4,1.4,3.5
2016-07-01,2016-07,Dun Laoghaire-Rathdown - houses,Dun Laoghaire-Rathdown,Houses,104.5,1.1,0.4,5.0
2016-07-01,2016-07,Fingal - houses,Fingal,Houses,103.1,-0.1,-1.0,3.0
2016-07-01,2016-07,Mid-East - houses,Mid-East,Houses,105.2,1.6,2.0,4.2
2016-07-01,2016-07,Mid-West - houses,Mid-West,Houses,109.5,2.7,4.5,7.2
2016-07-01,2016-07,Midland - houses,Midland,Houses,115.4,1.9,3.6,17.6
2016-07-01,2016-07,National - all residential properties,National,All residential,107.9,2.2,3.4,7.0
2016-07-01,2016-07,National - apartments,National,Apartments,107.4,0.4,2.9,7.7
2016-07-01,2016-07,National - houses,National,Houses,107.7,2.6,3.5,7.0
2016-07-01,2016-07,National excluding Dublin - all residential properties,National excluding Dublin,All residential,111.5,3.1,5.7,10.2
2016-07-01,2016-07,National excluding Dublin - apartments,National excluding Dublin,Apartments,116.9,1.5,7.3,17.0
2016-07-01,2016-07,National excluding Dublin - houses,National excluding Dublin,Houses,111.1,3.3,5.6,9.7
2016-07-01,2016-07,South Dublin - houses,South Dublin,Houses,101.1,1.4,1.9,1.5
2016-07-01,2016-07,South-East - houses,South-East,Houses,107.7,2.8,2.2,6.6
2016-07-01,2016-07,South-West - houses,South-West,Houses,111.7,2.6,4.3,11.7
2016-07-01,2016-07,West - houses,West,Houses,112.7,2.3,5.4,11.4
2016-08-01,2016-08,Border - houses,Border,Houses,109.7,0.8,1.7,6.5
2016-08-01,2016-08,Dublin - all residential properties,Dublin,All residential,106.0,1.5,3.0,4.5
2016-08-01,2016-08,Dublin - apartments,Dublin,Apartments,107.2,1.6,2.3,5.3
2016-08-01,2016-08,Dublin - houses,Dublin,Houses,105.6,1.5,3.3,4.5
2016-08-01,2016-08,Dublin City - houses,Dublin City,Houses,104.3,1.7,2.9,4.5
2016-08-01,2016-08,Dun Laoghaire-Rathdown - houses,Dun Laoghaire-Rathdown,Houses,106.4,1.8,2.9,6.5
2016-08-01,2016-08,Fingal - houses,Fingal,Houses,102.3,-0.8,-1.1,1.6
2016-08-01,2016-08,Mid-East - houses,Mid-East,Houses,106.4,1.1,3.4,4.6
2016-08-01,2016-08,Mid-West - houses,Mid-West,Houses,112.0,2.2,7.3,9.3
2016-08-01,2016-08,Midland - houses,Midland,Houses,116.3,0.8,3.7,14.1
2016-08-01,2016-08,National - all residential properties,National,All residential,109.4,1.4,4.7,7.3
2016-08-01,2016-08,National - apartments,National,Apartments,108.6,1.1,3.2,7.8
2016-08-01,2016-08,National - houses,National,Houses,109.3,1.5,5.0,7.3
2016-08-01,2016-08,National excluding Dublin - all residential properties,National excluding Dublin,All residential,112.9,1.3,6.4,10.0
2016-08-01,2016-08,National excluding Dublin - apartments,National excluding Dublin,Apartments,117.0,0.1,5.9,13.7
2016-08-01,2016-08,National excluding Dublin - houses,National excluding Dublin,Houses,112.6,1.4,6.4,9.8
2016-08-01,2016-08,South Dublin - houses,South Dublin,Houses,101.6,0.5,2.6,2.1
2016-08-01,2016-08,South-East - houses,South-East,Houses,111.2,3.3,6.2,8.0
2016-08-01,2016-08,South-West - houses,South-West,Houses,112.3,0.5,3.5,11.0
2016-08-01,2016-08,West - houses,West,Houses,114.5,1.6,6.6,12.7
2016-09-01,2016-09,Border - houses,Border,Houses,110.7,0.9,1.9,5.9
2016-09-01,2016-09,Dublin - all residential properties,Dublin,All residential,107.6,1.6,4.4,6.2
2016-09-01,2016-09,Dublin - apartments,Dublin,Apartments,109.0,1.7,2.8,6.1
2016-09-01,2016-09,Dublin - houses,Dublin,Houses,107.2,1.5,4.8,6.2
2016-09-01,2016-09,Dublin City - houses,Dublin City,Houses,106.0,1.7,4.8,6.8
2016-09-01,2016-09,Dun Laoghaire-Rathdown - houses,Dun Laoghaire-Rathdown,Houses,108.2,1.7,4.6,7.9
2016-09-01,2016-09,Fingal - houses,Fingal,Houses,102.2,-0.1,-1.0,1.2
2016-09-01,2016-09,Mid-East - houses,Mid-East,Houses,107.7,1.2,4.0,5.1
2016-09-01,2016-09,Mid-West - houses,Mid-West,Houses,113.0,0.9,6.0,9.3
2016-09-01,2016-09,Midland - houses,Midland,Houses,119.1,2.4,5.2,14.2
2016-09-01,2016-09,National - all residential properties,National,All residential,110.7,1.2,4.8,8.1
2016-09-01,2016-09,National - apartments,National,Apartments,109.7,1.0,2.5,8.0
2016-09-01,2016-09,National - houses,National,Houses,110.6,1.2,5.4,8.3
2016-09-01,2016-09,National excluding Dublin - all residential properties,National excluding Dublin,All residential,113.9,0.8,5.3,10.1
2016-09-01,2016-09,National excluding Dublin - apartments,National excluding Dublin,Apartments,115.9,-0.9,0.6,11.5
2016-09-01,2016-09,National excluding Dublin - houses,National excluding Dublin,Houses,113.8,1.0,5.8,10.1
2016-09-01,2016-09,South Dublin - houses,South Dublin,Houses,102.6,1.0,2.9,3.1
2016-09-01,2016-09,South-East - houses,South-East,Houses,112.8,1.4,7.7,8.9
2016-09-01,2016-09,South-West - houses,South-West,Houses,114.2,1.8,4.9,11.1
2016-09-01,2016-09,West - houses,West,Houses,115.3,0.7,4.6,13.8
2016-10-01,2016-10,Border - houses,Border,Houses,111.2,0.5,2.2,5.7
2016-10-01,2016-10,Dublin - all residential properties,Dublin,All residential,107.9,0.2,3.3,5.1
2016-10-01,2016-10,Dublin - apartments,Dublin,Apartments,109.5,0.5,3.7,4.0
2016-10-01,2016-10,Dublin - houses,Dublin,Houses,107.4,0.2,3.3,5.4
2016-10-01,2016-10,Dublin City - houses,Dublin City,Houses,106.6,0.6,4.0,6.0
2016-10-01,2016-10,Dun Laoghaire-Rathdown - houses,Dun Laoghaire-Rathdown,Houses,109.3,1.1,4.6,8.9
2016-10-01,2016-10,Fingal - houses,Fingal,Houses,102.3,0.1,-0.8,0.0
2016-10-01,2016-10,Mid-East - houses,Mid-East,Houses,109.7,1.9,4.4,5.7
2016-10-01,2016-10,Mid-West - houses,Mid-West,Houses,112.9,-0.1,3.1,9.7
2016-10-01,2016-10,Midland - houses,Midland,Houses,121.6,2.2,5.4,14.5
2016-10-01,2016-10,National - all residential properties,National,All residential,111.2,0.5,3.1,7.4
2016-10-01,2016-10,National - apartments,National,Apartments,110.4,0.6,2.8,6.9
2016-10-01,2016-10,National - houses,National,Houses,111.2,0.5,3.3,7.7
2016-10-01,2016-10,National excluding Dublin - all residential properties,National excluding Dublin,All residential,114.7,0.7,2.9,9.8
2016-10-01,2016-10,National excluding Dublin - apartments,National excluding Dublin,Apartments,116.2,0.3,-0.6,11.3
2016-10-01,2016-10,National excluding Dublin - houses,National excluding Dublin,Houses,114.7,0.8,3.3,9.7
2016-10-01,2016-10,South Dublin - houses,South Dublin,Houses,103.0,0.5,2.0,4.4
2016-10-01,2016-10,South-East - houses,South-East,Houses,115.3,2.2,7.0,10.4
2016-10-01,2016-10,South-West - houses,South-West,Houses,114.8,0.5,2.7,9.6
2016-10-01,2016-10,West - houses,West,Houses,116.8,1.3,3.6,13.4
2016-11-01,2016-11,Border - houses,Border,Houses,112.8,1.4,2.8,7.4
2016-11-01,2016-11,Dublin - all residential properties,Dublin,All residential,109.1,1.1,3.0,6.8
2016-11-01,2016-11,Dublin - apartments,Dublin,Apartments,111.4,1.8,3.9,9.0
2016-11-01,2016-11,Dublin - houses,Dublin,Houses,108.4,1.0,2.7,6.0
2016-11-01,2016-11,Dublin City - houses,Dublin City,Houses,107.7,1.1,3.4,6.4
2016-11-01,2016-11,Dun Laoghaire-Rathdown - houses,Dun Laoghaire-Rathdown,Houses,110.6,1.2,4.0,8.4
2016-11-01,2016-11,Fingal - houses,Fingal,Houses,102.9,0.6,0.6,0.8
2016-11-01,2016-11,Mid-East - houses,Mid-East,Houses,111.5,1.6,4.9,7.5
2016-11-01,2016-11,Mid-West - houses,Mid-West,Houses,115.6,2.4,3.2,11.5
2016-11-01,2016-11,Midland - houses,Midland,Houses,121.6,0.0,4.6,14.5
2016-11-01,2016-11,National - all residential properties,National,All residential,112.7,1.3,3.0,9.2
2016-11-01,2016-11,National - apartments,National,Apartments,112.1,1.6,3.2,9.9
2016-11-01,2016-11,National - houses,National,Houses,112.6,1.2,3.0,8.9
2016-11-01,2016-11,National excluding Dublin - all residential properties,National excluding Dublin,All residential,116.4,1.5,3.1,11.7
2016-11-01,2016-11,National excluding Dublin - apartments,National excluding Dublin,Apartments,118.2,1.7,1.0,12.9
2016-11-01,2016-11,National excluding Dublin - houses,National excluding Dublin,Houses,116.3,1.4,3.3,11.5
2016-11-01,2016-11,South Dublin - houses,South Dublin,Houses,104.5,1.4,2.9,7.4
2016-11-01,2016-11,South-East - houses,South-East,Houses,115.8,0.5,4.1,11.2
2016-11-01,2016-11,South-West - houses,South-West,Houses,117.1,2.0,4.3,10.9
2016-11-01,2016-11,West - houses,West,Houses,119.0,1.9,3.9,14.2
2016-12-01,2016-12,Border - houses,Border,Houses,113.2,0.3,2.3,6.5
2016-12-01,2016-12,Dublin - all residential properties,Dublin,All residential,108.4,-0.6,0.7,6.7
2016-12-01,2016-12,Dublin - apartments,Dublin,Apartments,109.8,-1.4,0.8,8.6
2016-12-01,2016-12,Dublin - houses,Dublin,Houses,108.2,-0.3,0.9,6.1
2016-12-01,2016-12,Dublin City - houses,Dublin City,Houses,107.5,-0.3,1.4,6.3
2016-12-01,2016-12,Dun Laoghaire-Rathdown - houses,Dun Laoghaire-Rathdown,Houses,111.4,0.7,3.0,8.8
2016-12-01,2016-12,Fingal - houses,Fingal,Houses,103.1,0.2,0.9,1.4
2016-12-01,2016-12,Mid-East - houses,Mid-East,Houses,112.5,0.9,4.5,8.3
2016-12-01,2016-12,Mid-West - houses,Mid-West,Houses,115.1,-0.4,1.8,9.8
2016-12-01,2016-12,Midland - houses,Midland,Houses,122.2,0.5,2.6,12.3
2016-12-01,2016-12,National - all residential properties,National,All residential,112.2,-0.4,1.4,9.0
2016-12-01,2016-12,National - apartments,National,Apartments,111.7,-0.4,1.8,9.9
2016-12-01,2016-12,National - houses,National,Houses,112.3,-0.3,1.5,8.7
2016-12-01,2016-12,National excluding Dublin - all residential properties,National excluding Dublin,All residential,116.2,-0.2,2.0,11.2
2016-12-01,2016-12,National excluding Dublin - apartments,National excluding Dublin,Apartments,118.8,0.5,2.5,13.7
2016-12-01,2016-12,National excluding Dublin - houses,National excluding Dublin,Houses,116.0,-0.3,1.9,11.0
2016-12-01,2016-12,South Dublin - houses,South Dublin,Houses,106.0,1.4,3.4,8.7
2016-12-01,2016-12,South-East - houses,South-East,Houses,118.1,1.9,4.7,12.9
2016-12-01,2016-12,South-West - houses,South-West,Houses,116.8,-0.3,2.2,10.6
2016-12-01,2016-12,West - houses,West,Houses,120.1,0.9,4.1,14.6
2017-01-01,2017-01,Border - houses,Border,Houses,114.2,1.0,2.7,5.6
2017-01-01,2017-01,Dublin - all residential properties,Dublin,All residential,109.0,0.6,1.1,5.8
2017-01-01,2017-01,Dublin - apartments,Dublin,Apartments,110.8,0.9,1.2,8.3
2017-01-01,2017-01,Dublin - houses,Dublin,Houses,108.7,0.5,1.2,5.1
2017-01-01,2017-01,Dublin City - houses,Dublin City,Houses,108.5,0.9,1.7,7.1
2017-01-01,2017-01,Dun Laoghaire-Rathdown - houses,Dun Laoghaire-Rathdown,Houses,112.2,0.7,2.7,8.2
2017-01-01,2017-01,Fingal - houses,Fingal,Houses,103.1,0.0,0.8,-0.2
2017-01-01,2017-01,Mid-East - houses,Mid-East,Houses,113.2,0.6,3.1,10.0
2017-01-01,2017-01,Mid-West - houses,Mid-West,Houses,115.2,0.1,2.0,10.0
2017-01-01,2017-01,Midland - houses,Midland,Houses,121.9,-0.2,0.2,10.3
2017-01-01,2017-01,National - all residential properties,National,All residential,113.0,0.7,1.6,8.7
2017-01-01,2017-01,National - apartments,National,Apartments,113.1,1.2,2.5,10.3
2017-01-01,2017-01,National - houses,National,Houses,112.9,0.5,1.5,8.4
2017-01-01,2017-01,National excluding Dublin - all residential properties,National excluding Dublin,All residential,117.1,0.8,2.1,11.6
2017-01-01,2017-01,National excluding Dublin - apartments,National excluding Dublin,Apartments,122.0,2.7,5.0,15.9
2017-01-01,2017-01,National excluding Dublin - houses,National excluding Dublin,Houses,116.7,0.6,1.7,11.2
2017-01-01,2017-01,South Dublin - houses,South Dublin,Houses,106.8,0.8,3.7,7.9
2017-01-01,2017-01,South-East - houses,South-East,Houses,120.7,2.2,4.7,15.2
2017-01-01,2017-01,South-West - houses,South-West,Houses,117.9,1.0,2.7,9.2
2017-01-01,2017-01,West - houses,West,Houses,121.9,1.5,4.3,16.4
2017-02-01,2017-02,Border - houses,Border,Houses,118.1,3.3,4.7,12.2
2017-02-01,2017-02,Dublin - all residential properties,Dublin,All residential,109.3,0.2,0.1,6.8
2017-02-01,2017-02,Dublin - apartments,Dublin,Apartments,110.2,-0.5,-1.0,7.9
2017-02-01,2017-02,Dublin - houses,Dublin,Houses,109.1,0.4,0.6,6.6
2017-02-01,2017-02,Dublin City - houses,Dublin City,Houses,109.1,0.6,1.3,8.3
2017-02-01,2017-02,Dun Laoghaire-Rathdown - houses,Dun Laoghaire-Rathdown,Houses,112.3,0.1,1.5,8.7
2017-02-01,2017-02,Fingal - houses,Fingal,Houses,104.4,1.2,1.4,1.0
2017-02-01,2017-02,Mid-East - houses,Mid-East,Houses,114.4,1.1,2.6,10.9
2017-02-01,2017-02,Mid-West - houses,Mid-West,Houses,115.0,-0.2,-0.5,9.5
2017-02-01,2017-02,Midland - houses,Midland,Houses,121.4,-0.4,-0.2,10.9
2017-02-01,2017-02,National - all residential properties,National,All residential,113.3,0.3,0.5,9.6
2017-02-01,2017-02,National - apartments,National,Apartments,113.3,0.2,1.0,10.4
2017-02-01,2017-02,National - houses,National,Houses,113.2,0.3,0.6,9.5
2017-02-01,2017-02,National excluding Dublin - all residential properties,National excluding Dublin,All residential,117.5,0.3,0.9,12.4
2017-02-01,2017-02,National excluding Dublin - apartments,National excluding Dublin,Apartments,123.4,1.1,4.4,16.9
2017-02-01,2017-02,National excluding Dublin - houses,National excluding Dublin,Houses,117.0,0.3,0.6,12.1
2017-02-01,2017-02,South Dublin - houses,South Dublin,Houses,107.0,0.2,2.4,8.2
2017-02-01,2017-02,South-East - houses,South-East,Houses,121.0,0.2,4.5,15.1
2017-02-01,2017-02,South-West - houses,South-West,Houses,117.2,-0.6,0.1,9.5
2017-02-01,2017-02,West - houses,West,Houses,123.3,1.2,3.6,16.2
2017-03-01,2017-03,Border - houses,Border,Houses,117.4,-0.5,3.8,11.3
2017-03-01,2017-03,Dublin - all residential properties,Dublin,All residential,110.0,0.7,1.4,7.2
2017-03-01,2017-03,Dublin - apartments,Dublin,Apartments,110.0,-0.3,0.1,7.8
2017-03-01,2017-03,Dublin - houses,Dublin,Houses,110.1,0.9,1.7,7.2
2017-03-01,2017-03,Dublin City - houses,Dublin City,Houses,109.9,0.7,2.3,9.2
2017-03-01,2017-03,Dun Laoghaire-Rathdown - houses,Dun Laoghaire-Rathdown,Houses,112.7,0.3,1.2,8.6
2017-03-01,2017-03,Fingal - houses,Fingal,Houses,105.7,1.3,2.5,1.1
2017-03-01,2017-03,Mid-East - houses,Mid-East,Houses,114.8,0.4,2.0,11.3
2017-03-01,2017-03,Mid-West - houses,Mid-West,Houses,114.2,-0.7,-0.8,9.3
2017-03-01,2017-03,Midland - houses,Midland,Houses,124.6,2.6,1.9,13.3
2017-03-01,2017-03,National - all residential properties,National,All residential,113.8,0.4,1.4,9.8
2017-03-01,2017-03,National - apartments,National,Apartments,113.6,0.3,1.7,10.1
2017-03-01,2017-03,National - houses,National,Houses,113.8,0.5,1.3,9.8
2017-03-01,2017-03,National excluding Dublin - all residential properties,National excluding Dublin,All residential,117.7,0.2,1.3,12.2
2017-03-01,2017-03,National excluding Dublin - apartments,National excluding Dublin,Apartments,125.1,1.4,5.3,15.5
2017-03-01,2017-03,National excluding Dublin - houses,National excluding Dublin,Houses,117.1,0.1,1.0,12.0
2017-03-01,2017-03,South Dublin - houses,South Dublin,Houses,108.0,0.9,1.9,9.3
2017-03-01,2017-03,South-East - houses,South-East,Houses,120.7,-0.3,2.2,14.1
2017-03-01,2017-03,South-West - houses,South-West,Houses,118.9,1.5,1.8,10.2
2017-03-01,2017-03,West - houses,West,Houses,121.8,-1.3,1.4,16.5
2017-04-01,2017-04,Border - houses,Border,Houses,117.4,-0.1,2.7,10.0
2017-04-01,2017-04,Dublin - all residential properties,Dublin,All residential,109.2,-0.8,0.1,5.8
2017-04-01,2017-04,Dublin - apartments,Dublin,Apartments,108.9,-1.0,-1.7,4.9
2017-04-01,2017-04,Dublin - houses,Dublin,Houses,109.3,-0.7,0.6,6.3
2017-04-01,2017-04,Dublin City - houses,Dublin City,Houses,108.9,-0.9,0.4,7.7
2017-04-01,2017-04,Dun Laoghaire-Rathdown - houses,Dun Laoghaire-Rathdown,Houses,111.8,-0.8,-0.4,7.4
2017-04-01,2017-04,Fingal - houses,Fingal,Houses,106.4,0.7,3.2,2.2
2017-04-01,2017-04,Mid-East - houses,Mid-East,Houses,116.1,1.2,2.6,12.6
2017-04-01,2017-04,Mid-West - houses,Mid-West,Houses,114.7,0.4,-0.5,9.4
2017-04-01,2017-04,Midland - houses,Midland,Houses,126.8,1.8,4.0,13.9
2017-04-01,2017-04,National - all residential properties,National,All residential,114.2,0.4,1.1,9.5
