date,period,series,region,property_type,index,pct_1m,pct_3m,pct_12m
2005-11-01,2005-11,National excluding Dublin - all residential properties,National excluding Dublin,All residential,156.3,0.6,3.1,
2005-11-01,2005-11,National excluding Dublin - apartments,National excluding Dublin,Apartments,207.8,1.4,7.3,
2005-11-01,2005-11,National excluding Dublin - houses,National excluding Dublin,Houses,153.5,0.6,2.9,
2005-12-01,2005-12,Dublin - all residential properties,Dublin,All residential,136.2,0.6,4.7,
2005-12-01,2005-12,Dublin - apartments,Dublin,Apartments,160.1,1.4,4.1,
2005-12-01,2005-12,Dublin - houses,Dublin,Houses,129.9,0.3,4.9,
2005-12-01,2005-12,National - all residential properties,National,All residential,140.7,1.0,4.0,
2005-12-01,2005-12,National - apartments,National,Apartments,166.4,1.8,5.1,
2005-12-01,2005-12,National - houses,National,Houses,136.5,0.9,3.9,
2005-12-01,2005-12,National excluding Dublin - all residential properties,National excluding Dublin,All residential,158.2,1.2,3.7,
2005-12-01,2005-12,National excluding Dublin - apartments,National excluding Dublin,Apartments,213.2,2.6,8.1,
2005-12-01,2005-12,National excluding Dublin - houses,National excluding Dublin,Houses,155.3,1.2,3.4,
2006-01-01,2006-01,Dublin - all residential properties,Dublin,All residential,136.8,0.5,2.3,15.4
2006-01-01,2006-01,Dublin - apartments,Dublin,Apartments,159.9,-0.1,2.4,11.0
2006-01-01,2006-01,Dublin - houses,Dublin,Houses,130.9,0.8,2.5,16.9
2006-01-01,2006-01,National - all residential properties,National,All residential,141.4,0.5,2.4,13.2
2006-01-01,2006-01,National - apartments,National,Apartments,167.8,0.8,4.0,9.3
2006-01-01,2006-01,National - houses,National,Houses,137.3,0.6,2.4,13.7
2006-01-01,2006-01,National excluding Dublin - all residential properties,National excluding Dublin,All residential,159.0,0.5,2.4,11.9
2006-01-01,2006-01,National excluding Dublin - apartments,National excluding Dublin,Apartments,216.3,1.5,5.5,8.0
2006-01-01,2006-01,National excluding Dublin - houses,National excluding Dublin,Houses,156.0,0.5,2.3,12.2
2006-02-01,2006-02,Dublin - all residential properties,Dublin,All residential,137.9,0.8,1.9,14.0
2006-02-01,2006-02,Dublin - apartments,Dublin,Apartments,160.7,0.5,1.8,8.0
2006-02-01,2006-02,Dublin - houses,Dublin,Houses,132.3,1.0,2.2,16.1
2006-02-01,2006-02,National - all residential properties,National,All residential,141.7,0.3,1.7,12.5
2006-02-01,2006-02,National - apartments,National,Apartments,169.0,0.7,3.4,9.9
2006-02-01,2006-02,National - houses,National,Houses,137.7,0.3,1.8,13.0
2006-02-01,2006-02,National excluding Dublin - all residential properties,National excluding Dublin,All residential,158.9,-0.1,1.7,11.7
2006-02-01,2006-02,National excluding Dublin - apartments,National excluding Dublin,Apartments,216.2,-0.1,4.0,14.6
2006-02-01,2006-02,National excluding Dublin - houses,National excluding Dublin,Houses,155.9,0.0,1.6,11.6
2006-03-01,2006-03,Dublin - all residential properties,Dublin,All residential,138.7,0.6,1.9,13.8
2006-03-01,2006-03,Dublin - apartments,Dublin,Apartments,161.4,0.5,0.8,7.6
2006-03-01,2006-03,Dublin - houses,Dublin,Houses,133.1,0.6,2.5,15.8
2006-03-01,2006-03,National - all residential properties,National,All residential,142.5,0.5,1.3,12.5
2006-03-01,2006-03,National - apartments,National,Apartments,170.1,0.6,2.2,10.7
2006-03-01,2006-03,National - houses,National,Houses,138.5,0.6,1.5,12.9
2006-03-01,2006-03,National excluding Dublin - all residential properties,National excluding Dublin,All residential,159.7,0.5,0.9,11.8
2006-03-01,2006-03,National excluding Dublin - apartments,National excluding Dublin,Apartments,216.0,-0.1,1.4,17.2
2006-03-01,2006-03,National excluding Dublin - houses,National excluding Dublin,Houses,156.8,0.6,1.0,11.6
2006-04-01,2006-04,Dublin - all residential properties,Dublin,All residential,141.3,1.8,3.3,15.1
2006-04-01,2006-04,Dublin - apartments,Dublin,Apartments,164.8,2.1,3.1,9.8
2006-04-01,2006-04,Dublin - houses,Dublin,Houses,135.2,1.6,3.3,16.4
2006-04-01,2006-04,National - all residential properties,National,All residential,144.6,1.5,2.3,13.4
2006-04-01,2006-04,National - apartments,National,Apartments,172.7,1.5,2.9,12.5
2006-04-01,2006-04,National - houses,National,Houses,140.5,1.4,2.3,13.6
2006-04-01,2006-04,National excluding Dublin - all residential properties,National excluding Dublin,All residential,161.8,1.3,1.7,12.5
2006-04-01,2006-04,National excluding Dublin - apartments,National excluding Dublin,Apartments,217.3,0.6,0.5,18.9
2006-04-01,2006-04,National excluding Dublin - houses,National excluding Dublin,Houses,158.9,1.3,1.9,12.3
2006-05-01,2006-05,Dublin - all residential properties,Dublin,All residential,145.0,2.6,5.1,17.2
2006-05-01,2006-05,Dublin - apartments,Dublin,Apartments,167.5,1.6,4.2,11.6
2006-05-01,2006-05,Dublin - houses,Dublin,Houses,139.1,2.9,5.2,18.5
2006-05-01,2006-05,National - all residential properties,National,All residential,147.6,2.1,4.1,15.0
2006-05-01,2006-05,National - apartments,National,Apartments,175.0,1.3,3.5,13.8
2006-05-01,2006-05,National - houses,National,Houses,143.4,2.1,4.2,15.1
2006-05-01,2006-05,National excluding Dublin - all residential properties,National excluding Dublin,All residential,164.6,1.7,3.6,13.7
2006-05-01,2006-05,National excluding Dublin - apartments,National excluding Dublin,Apartments,219.3,0.9,1.4,19.2
2006-05-01,2006-05,National excluding Dublin - houses,National excluding Dublin,Houses,161.7,1.8,3.7,13.5
2006-06-01,2006-06,Dublin - all residential properties,Dublin,All residential,148.7,2.5,7.2,20.1
2006-06-01,2006-06,Dublin - apartments,Dublin,Apartments,169.8,1.4,5.2,13.7
2006-06-01,2006-06,Dublin - houses,Dublin,Houses,143.1,2.9,7.5,21.6
2006-06-01,2006-06,National - all residential properties,National,All residential,150.3,1.8,5.5,16.0
2006-06-01,2006-06,National - apartments,National,Apartments,176.9,1.1,4.0,15.4
2006-06-01,2006-06,National - houses,National,Houses,146.2,1.9,5.6,16.0
2006-06-01,2006-06,National excluding Dublin - all residential properties,National excluding Dublin,All residential,166.9,1.4,4.5,13.7
2006-06-01,2006-06,National excluding Dublin - apartments,National excluding Dublin,Apartments,220.2,0.4,1.9,20.0
2006-06-01,2006-06,National excluding Dublin - houses,National excluding Dublin,Houses,164.0,1.5,4.6,13.5
